brand,colour,model,mrp,name,price,sizes,symbol
 RedTape, NAVY  , RTK0204A,4599.0,RedTape Kids-Unisex Navy Walking Shoes,1379.0,"2,3,12",₹
 RedTape, BLACK, RKS0001,1199.0,RedTape Kid's Black Sliders,359.0,"1,2,11,12,13",₹
 RedTape, BLACK, RSO2928,4899.0,RedTape Sports Walking Shoes for Men | Comfortable  Slip-Resistant,1469.0,"6,7,8,9,10",₹
 RedTape, White/Black, RSL0052,5799.0,RedTape Casual Sneaker Shoes for Men | Comfortable & Slip Resistant,1739.0,"6,7,8,9,10",₹
 RedTape, BLACK, RSO1261B,6599.0,RedTape Sports Walking Shoes for Men | Comfortable &  Slip-Resistant,1979.0,"6,7,8,9,10",₹
 RedTape, BLACK/WHITE, RSO3192,5599.0,RedTape Sports Walking Shoes for Men | Comfortable Lace-Up,1679.0,"6,7,8,9,10",₹
 RedTape, BLACK, RSO3191,5599.0,RedTape Sports Walking Shoes for Men | Comfortable  Durable,1679.0,"6,7,8,9,10",₹
 RedTape, BEIGE, RSO2843,6799.0,RedTape Sports Walking  Shoes for Men | Lace-Up &Comfortable,2039.0,"6,7,8,9,10",₹
 RedTape, BLACK/BLUE, RSO2842,6799.0,RedTape Sports Walking Shoes for Men | Durable & Comfortable,2039.0,"6,7,8,9,10",₹
 RedTape, BLACK, RSO2841,6799.0,RedTape Sports Walking Shoes for Men | Comfortable Lace-Up,2039.0,"6,7,8,9,10",₹
 RedTape, BLACK, RTK0191,3699.0,RedTape Unisex Kids Black Sports Shoes,1109.0,13,₹
 RedTape, BLUE, RSO2844,6799.0,RedTape Sports Walking Shoes for Men | Comfortable & Slip-Resistant,2039.0,"6,7,8,9,10",₹
 RedTape, BEIGE BROWN, RSO2846,6799.0,RedTape Sports Walking Shoes for Men | Slip-Resistant & Durable,2039.0,"6,7,8,9,10",₹
 RedTape, DARK GREY, RSO2156,6899.0,RedTape Sports Walking Shoes for Men | Slip Resistant & Comfortable,2069.0,"6,7,8,9,10",₹
 RedTape, WHITE  , RSO2825,6699.0,Red Tape Sports Walking Shoes for Men | Comfortable & Durable,2009.0,"6,7,8,9,10",₹
 RedTape, Magenta, RLO1178,5499.0,RedTape Sports Athleisure Shoes For Women | Comfortable & Right Fit,1649.0,"3,4,5,6,7",₹
 RedTape, Light Peach, RLO1523,5599.0,RedTape Sports Athleisure Shoes for Women | Comfortable & Firm Grip,1679.0,"3,4,5,6,7",₹
 RedTape, Tarquoise Blue, RLO1313,5599.0,RedTape Sports Shoes For Women | Comfortable Athleisure Shoes,1679.0,"3,4,5,6,7",₹
 RedTape, White/Pink, RLO0825A,5999.0,RedTape Women White And Pink Athleisure Shoes,1799.0,"3,4,5,6,7",₹
